LE CREDIT LYONNAIS
ELECTRICITY SUPPLY BOARD
ELECTRICITE DE FRANCE SA (EDF SA)
ENDESA SA
BAYERISCHE LANDESBANK
HOLLANDSCHE BANK-UNIE NV
MERRILL LYNCH CAPITAL SERVICES INC
CHEVRON LIMITED
CM CAPITAL MARKETS BROKERAGE SA
SYRAL BELGIUM NV
UMICORE SA
ED AND F MAN GLOBAL MARKETS INC
SOUTH AFRICAN AIRWAYS
OTOR NORMANDIE
TOTALENERGIES GAS & POWER LIMITED
CENTRICA PLC
TRADITION FINANCIAL SERVICES LTD
SEMPRA ENERGY TRADING CORP
SJB PETROLEUM PRODUCTS BV
E.ON RUHRGAS AG
NATSOURCE LLC
XSTRATA QUEENSLAND LIMITED
FORTUM POWER AND HEAT OY
LUCCHINI SPA
TXU ENERGY TRADING COMPAGNY INC
NOBLE RESOURCES PTE LTD
BORALEX SAS
STEIRISCHE GAS-WAERME GMBH
ICAP ENERGY LLC
ALTIS SEMICONDUCTOR
UNICREDIT BANCA D'IMPRESA SPA
SOREGIES SEML
ORANGE FRANCE
WESTLAND ENERGIE SERVICES BV
RHEINENERGIE AG
MERCURIA ENERGY GROUP LIMITED
NORSK HYDRO ENERGIE AS
DRAX POWER LIMITED
CLAIMS VALIDATION SERVICES LIMITED
LOUIS DREYFUS ENERGY HOLDINGS LIMITED
E.ON ENERGY TRADING SPA
YARA SLUISKIL BV
CHEVRON GLOBAL TRADING LIMITED
EUROPEAN COMMODITY CLEARING AG
WESTLAND ENERGIE BEHEER BV
CASTLETON COMMODITIES INTERNATIONAL LLC
BADENOVA AG & CO KG
24SIEBEN GMBH
ENERGIE STEIERMARK AG
TIBERIUS ASSET MANAGEMENT AG
HARTREE PARTNERS ADVISORY SERVICES UK LIMITED
SEMPRA ENERGY TRADING (UK) LIMITED
A2A TRADING SRL
SHELL ITALIA SPA
GAS-UNION GMBH
SUDWESTDEUTSCHE STROMHANDELS GMBH
BANCO SANTANDER SA
FREIGHT INVESTOR SERVICES LIMITED
TULLETT PREBON AMERICAS CORP
LAMPIRIS SA
TAURON POLSKA ENERGIA SA
KONINKLIJKE DSM NV
SWE ENERGIE GMBH
MVM ENERGETIKA ZARTKORUEN MUKODO RESZVANYTARSASAG
SWB AG
SLOVENSKA ELEKTRIZACNA PRENOSOVA SUSTAVA AS
POLSKIE SIECI ELEKTROENERGETYCZNE SA
ZURCHER KANTONALBANK
LUMIUS SPOL S RO
KONINKLIJKE LUCHTVAART MAATSCHAPPIJ NV
OMI-POLO ESPANOL SA
NEPTUNE ENERGY NORGE AS
HUPX MAGYAR SZERVEZETT VILLAMOSENERGIA-PIAC ZARTKORUEN MUKODO RESZVENYTARSASAG
POWER EXCHANGE CENTRAL EUROPE AS (PXE)
BEKAERT NV
SCS COMMODITIES CORP
SCS OTC CORP
DQL ENERGY LIMITED
PRAZSKA ENERGETIKA AS
SOCIETE GENERALE INTERNATIONAL LIMITED (DUPLICATE)
ENEMALTA CORPORATION
SANTANDER UK PLC
CARRIERES ET FOURS A CHAUX DUMONT-WAUTIER SA
BGC PARTNERS (SINGAPORE) LIMITED
CARMEUSE HOLDING SA
KNOWLEDGE INTERNATIONAL STRATEGY SYSTEMS PTE LTD
OMV AG
BROKER AFFAIRS GMBH ENERGY SERVICES
MOL HUNGARIAN OIL & GAS PLC
NITROGENMUVEK ZRT
CHINA NATIONAL UNITED OIL CORPORATION
SNCF ENERGIE
HOLDING SLOVENSKE ELEKTRARNE DOO
CHINAOIL (HONG KONG) CORPORATION LIMITED
SEFE MARKETING & TRADING SINGAPORE PTE LTD
E1 CORPORATION LIMITED
SUMITOMO CORPORATION GLOBAL COMMODITIES LIMITED
PETROCHINA INTERNATIONAL (LONDON) CO LIMITED
BUNKER HOLDING A/S
DEUTSCHE TELEKOM AG
TIPCO ASPHALT PUBLIC COMPANY LIMITED
GELSENWASSER AG
INEOS MANUFACTURING DEUTSCHLAND GMBH
CHINA COAL SOLUTION (SINGAPORE) PTE LTD
PETROINEOS TRADING LIMITED
SEMBCORP COGEN PTE LTD
GLOW SPP3 COMPANY LIMITED
TIGER ENERGY TRADING PTE LTD
PETROCHINA INTERNATIONAL CO LIMITED
TREASURY OP COSTS
BGC PARTNERS (AUSTRALIA) PTY LIMITED
ENERGIE AG OBEROSTERREICH
TULLOW OIL PLC
GULF PETROL SUPPLIES LLC
PRISM ENERGY INTERNATIONAL PTE LTD
CHINA MERCHANTS SECURITIES INVESTMENT MANAGEMENT (HK) CO LIMITED
OM FINANCIAL LIMITED
GDF SUEZ NATURAL GAS SALES AND PURCHASE HUNGARIA LTD
GAS TRANSMISSION OPERATOR GAZ-SYSTEM SA
NATGSYS
TEREOS STARCH & SWEETENERS EUROPE
OSIRIS GIE
VERMILION ENERGY INC
AEGEAN AIRLINES AVIATION SA
ASTORA GMBH
VAR ENERGI AS
BAKHVI HYDRO POWER LLC
ERM POWER RETAIL PTY LTD
IZGAZ IZMIT GAZ DAGITIM SANAYI VE TICARET AS
ENGIE ENERJI TICARET VE PAZARLAMA_RETAIL
VEOLIA KOMODITY CR SRO
NAFTA  AS
UNIPER SE
METAENERGIA SPA
ASTOMOS ENERGY CORPORATION
GASMAR SA
PJSC VERALLIA UKRAINE
ENGIE INVEST INTERNATIONAL SA
SOUTH32 TREASURY LIMITED
SUMITOMO MITSUI BANKING CORPORATION
LLOYDS BANK PLC
BILSEA INTERNATIONAL PTE LTD
TURKIYE ELEKTRIK ILETIM AS
E.ON UK ENERGY MARKETS LTD
SIGMA BROKING LIMITED
ENERJISA ELEKTRIK ENERJISI TOPTAN SATIS AS
UGUR YELMI ENERJI TICARETI VE DANISMANLIK
CALCIPAR SA
ESTRA ENERGIE SRL
OPTIMIZED ENERGY INC
THE KANSAI ELECTRIC POWER CO INC
NAUTADUTILH NV
KOLMAR SINGAPORE PTE LTD
EVONIK PEROXIDE NETHERLANDS BV
